pgRNA_target	mean_observed_cs	mean_expected_cs	gi_score	target_type	p_val	fdr
A2M_PZP	-0.33886678186744834	-0.05337294512219294	-0.17003962784953092	gene_gene	0.6294891766420327	0.8370640567062434
AADACL3_AADACL4	-0.6552827447787145	-0.4761270537759169	-0.24093939372920128	gene_gene	0.5163760359760705	0.7640210740607545
AADAC_AADACL2	-0.6263079839898469	-0.12761221005195122	-0.4143660698244297	gene_gene	0.2472533028414137	0.5350229032072606
ABCC1_ABCC3	-0.9417332069280475	-1.6076903058777183	0.12977018271093785	gene_gene	0.6805374758765703	0.8729185556075559
ABCC8_ABCC9	-0.04423491084430834	0.9215518598904711	-0.4415993694418886	gene_gene	0.04976306481481835	0.22989803462651057
ABCD1_ABCD2	-0.9787217981449325	-0.630208094184471	-0.47489524562814345	gene_gene	0.17297916320136802	0.439922316289899
ABCG1_ABCG4	-0.4654045700531247	-1.635265956738387	0.6221134928708645	gene_gene	0.10766624164102734	0.33809825881176264
ABHD4_ABHD5	-0.74147442994404	-0.5945618221149644	-0.25834959735784857	gene_gene	0.36285715285057574	0.6443842542001604
ABI1_ABI2	-1.2319588602043203	-2.180971839919402	0.17248015131324793	gene_gene	0.7152306861869329	0.8902855578465884
ABL1_ABL2	-0.6604312016268973	-0.6142154364599539	-0.16589245122622556	gene_gene	0.5985611246897196	0.8187489487787664
ABTB2_BTBD11	-0.14793985606283092	-0.6205244069525868	0.35026285504414467	gene_gene	0.22379618042762855	0.5014187133501578
ACACA_ACACB	-0.7368466310060856	-1.8230740877908185	0.4597417807654721	gene_gene	0.13201207774641896	0.37144769860698895
ACO1_IREB2	-1.1969335024320606	-0.4319661510060927	-0.8082367783072549	gene_gene	0.0153562906716565	0.13071883794881153
ACSL3_ACSL4	-1.324145683677362	-1.1885691417222488	-0.49604864352744055	gene_gene	0.1963335116407219	0.471383489487048
ACTA2_ACTG2	-0.1992606889539458	-0.8424737575144768	0.4278400254323356	gene_gene	0.3507988087948485	0.6318549160456635
ACTL6A_ACTL6B	-2.2486276172652944	-1.758016369975229	-1.0898217441815425	gene_gene	0.005698234240178362	0.09657384683773744
ACTL7A_ACTL7B	-0.4805436443606897	-1.083858103085631	0.28674202703598695	gene_gene	0.3711673628774025	0.6491489521143193
ACTRT1_ACTRT2	-0.9169526387608203	-0.45494844963389913	-0.5149088496574805	gene_gene	0.060585395989494244	0.2611002421304564
ACVR1_ACVRL1	-0.35615304912588996	-1.6717143829164811	0.7525325880448167	gene_gene	0.012601328395151198	0.12443891188465081
ACVR2A_ACVR2B	-0.03980458567127927	-0.7221744686832636	0.517431819191195	gene_gene	0.05851467853922403	0.2564685910442585
